,country_code,spirit,buy,gini,low_food,good_food
0,TGO,0.478992362,-0.353424887,-1.392230775,0.086535082,1.447491966
1,SEN,-0.874227206,1.672160379,0.241020358,0.908169304,-0.315222998
2,TCD,-0.870388066,0.184443601,0.400867565,-0.14967543,-0.30789545
3,RWA,1.037295568,0.31126244,0.175075563,-0.303359985,1.403708946
4,COD,0.433526192,-1.041860816,-1.927345691,0.421106256,3.260116583
5,BDI,0.704190063,-0.903059862,-0.015454985,0.461867218,5.788848705
6,TZA,-0.279226094,-1.090324448,-0.731087999,0.56413943,0.635291082
7,MDG,-0.490337566,-0.668741768,-1.15702851,3.744298149,-0.852240957
8,UGA,0.6820721,1.56141628,0.917988995,-0.249302836,2.302481365
9,SLE,-0.043137081,2.712104693,0.094497585,2.034090621,0.285539596
10,ZMB,-0.338202905,2.272976867,1.314628674,-0.351368847,0.664931396
11,GIN,-1.12785595,0.350998625,1.358492434,3.232974718,-0.376896306
12,STP,-1.259516376,0.514078251,1.838555108,0.788713306,-0.182594658
13,RUS,0.331403342,-0.285872408,-0.460945112,-0.878689312,-0.355482652
14,KGZ,-3.094842282,0.260380913,1.044528888,-0.999106237,0.145947985
15,MKD,-1.245545248,-0.435246315,0.326204108,-0.847457689,-0.354211133
16,SRB,-0.082107633,-0.818207498,0.953701206,-0.842142835,-0.293698431
17,ALB,-1.8003603,-1.099363436,-0.68036589,-0.449696058,0.159494851
18,KAZ,-1.00271053,-0.397350199,0.735965859,-0.665366667,0.037319278
19,ARM,-2.866722723,0.587723999,1.696878218,-0.921932961,0.125014553
20,BLR,0.303548087,0.151176459,1.149028958,-0.942133925,-0.637987018
21,MDV,1.442385693,0.152022581,1.607795075,-0.558256473,-0.705734373
22,BTN,0.178400115,-0.310403916,-0.156229774,0.252538164,-0.540158399
23,IND,0.203243369,-0.824940764,-1.716633583,0.341582212,-0.264673841
24,AFG,-0.540438574,-0.271102888,0.572802401,0.064248783,-0.271028387
25,BGD,0.533363473,0.002535903,1.793282296,2.624637413,-1.089565929
26,NPL,0.052483688,-0.270360606,0.513895418,1.289489861,-0.412452952
27,PAK,-0.799000657,-0.646127178,-0.384150061,-0.501789254,-0.234777914
28,LKA,0.131196297,-0.488104583,0.704988311,0.830315284,-0.27306762
29,SLV,-3.023302474,0.071489109,0.744533527,-0.883117749,-0.721665639
30,BRA,1.218138729,-0.456583404,0.570053979,-0.757926698,-0.729380822
31,PER,0.548455329,-0.665366796,-0.012612869,-0.527266081,-0.207938022
32,BOL,-0.497672174,-0.779892613,-0.774210145,-0.47847841,-0.16739653
33,GTM,0.18685331,-0.022734098,0.842552894,-0.774317399,-0.47509717
34,MEX,1.749015779,0.199063783,0.345543477,-0.793575155,-0.587745887
35,HND,-1.556640999,0.41260961,1.603121329,-0.585883069,-0.391592153
36,NIC,-0.553271483,1.159469019,0.28225729,-0.086867503,-0.193892683
37,JAM,1.524237064,-0.763109286,-0.912926574,-0.663758307,-0.268172421
38,COL,0.736913279,0.025158551,-0.959912458,-0.462413234,-0.501994925
39,JOR,0.467543245,-0.547497666,-1.33865732,-0.595709616,-0.468116469
40,GHA,1.521535659,-0.503673255,-0.970062727,-0.002561189,1.160161772
41,LSO,0.550085129,-0.746646593,-0.035861277,-0.742411547,-0.357338738
42,NAM,1.347267776,-0.122264745,-2.215125908,-0.824441582,-0.675751501
43,SWZ,1.379001945,-0.726986869,-0.815685843,-0.676510895,-0.72532066
44,ZAF,2.421293557,1.377880885,0.746761006,-0.960963456,-0.990354531
45,ETH,-0.371638165,1.762074016,0.891955495,-0.797178077,0.307103867
46,GMB,-1.196957733,0.128313752,0.86978436,-0.02609697,-0.274660136
47,MUS,0.41555403,0.879080484,0.286334226,-0.358425564,-0.2607424
48,MOZ,0.00246904,-1.096685206,-0.525330764,-0.085606677,0.638481399
49,LBR,0.316184712,-0.629794268,-0.635938014,2.291013761,-0.411939898
50,KEN,-1.421802415,-0.191869504,1.721267349,-0.393566779,0.452662778
51,CPV,0.527202566,2.305978698,0.241196534,0.167094974,-0.137445784
52,NGA,-0.09134382,-0.942337627,-0.170392137,0.652882014,1.912071784
53,MWI,-0.717254926,1.667141438,0.678332192,-0.172268983,1.190614393
54,MRT,-0.680227188,-0.360510047,0.858900145,0.668228332,-1.024747947
55,BEN,0.469101067,-1.057126485,-0.803211029,0.20764957,1.033910634
56,BFA,0.785881955,-0.25475376,-0.472065406,-0.305298479,-0.458761271
57,CIV,0.276379014,0.29328047,-0.236846438,0.72129598,0.787162379
58,CMR,0.458630406,-0.946617922,-1.434211079,-0.323415917,0.642592766
59,COG,0.400249607,-0.762917436,0.228690634,0.116197041,1.146547898
60,GAB,0.582001559,-1.121108559,-0.934492598,-0.235687124,0.611676191
61,MLI,-0.383930503,-0.815991288,0.18746011,0.913203611,-0.581820821
62,NER,0.522858714,-0.99596717,0.751988809,-0.002287112,-0.701989025
63,TLS,-0.852344985,-0.434312194,-1.828862137,2.169227245,0.164022787
64,FJI,1.479229971,-0.666548312,-0.900214751,-0.421350246,-0.305173338
65,PNG,0.503743991,0.288023233,1.664629544,1.267934454,2.05462653
66,CHN,1.554836903,-0.60650133,0.273595417,-0.517806617,-0.419854003
67,THA,0.698817164,1.712357354,-2.147780994,0.132916552,-0.896635244
68,PHL,1.170616016,1.46438958,0.196213369,0.776412976,-1.024994171
69,MNG,-0.180896553,2.696327743,1.328589107,-0.837139394,-0.614200137
70,KHM,0.588298429,-1.02696659,-0.395697026,0.527086615,-0.498217985
71,LAO,0.128782836,-0.684485611,0.062950488,2.80123149,-1.466826213
72,IDN,0.318739791,-0.19706856,-0.446305753,0.888038665,-0.682779033
73,VNM,1.176617528,-0.439064647,0.580132992,1.522649294,-1.291629814
74,LVA,0.789902687,2.253439852,0.383862694,-0.890336915,-0.472042206
75,MNE,0.241986671,2.310517126,0.718521787,-0.914977759,-0.539007747
76,AZE,-1.108927712,-0.961336343,-0.732005922,-0.732769842,0.220833387
77,BGR,-0.084149699,-0.842974537,-1.378143994,-0.891434181,-0.447041186
78,BIH,0.209708867,-0.968499554,-0.055007292,-0.866615823,-0.594264172
79,TUR,-0.389910898,-0.126962459,-1.068570697,-0.83735353,-0.433543705
80,LTU,0.081658039,0.022318143,-1.32721431,-0.880719276,-0.390499009
81,ROU,-1.143063322,-0.569881903,-1.087630875,-0.857071882,-0.324760615
82,TJK,-1.145753829,0.675288868,0.529376465,0.109726922,0.265289868
83,UKR,-0.879213789,-0.955950425,-0.969646619,-0.623933216,0.441015348
84,MDA,0.290158899,-0.666251665,-1.746353839,-0.72658526,-0.14315624
85,IRQ,0.089300357,2.144517061,0.836861027,-0.596303119,0.160354604
86,EGY,-0.771563113,-0.521738304,-0.816683409,-0.480857537,-0.216699571
87,MAR,-0.069083327,0.134410292,-0.944269691,-0.766692031,-0.094954859
88,DJI,-0.690128068,0.403701803,1.516097829,-0.158901012,0.370110908
89,YEM,0.282344392,-1.036643254,0.331641177,-0.400335579,-0.177591901
