country_code,total
AFG,714.0287123
ALB,2145.229723
ARM,1094.065997
AZE,1183.671334
BDI,227.6062378
BEN,325.677679
BFA,193.3636905
BGD,491.2378749
BGR,2066.982182
BIH,2880.014567
BLR,2569.743655
BOL,1211.747401
BRA,1326.973222
BTN,761.7587085
CHN,1147.720395
CIV,656.2168237
CMR,385.6311109
COD,186.977088
COG,682.9927684
COL,1379.008489
CPV,1070.560708
DJI,1071.158545
EGY,744.4256836
ETH,380.8736432
FJI,772.1942859
GAB,965.5369806
GHA,772.7187539
GIN,507.2164785
GMB,618.8691945
GTM,1014.256677
HND,641.1408534
IDN,493.6225003
IND,412.702942
IRQ,947.6821651
JAM,1104.396058
JOR,1255.279365
KAZ,1782.981634
KEN,424.5613985
KGZ,981.521278
KHM,576.9043156
LAO,607.8689675
LBR,436.1933071
LKA,877.3576203
LSO,450.0841156
LTU,1937.303098
LVA,2208.759257
MAR,1054.406794
MDA,1584.869828
MDG,188.8694227
MDV,518.7566874
MEX,828.1775618
MKD,2593.061485
MLI,297.9255139
MNE,2141.683532
MNG,709.0226098
MOZ,216.8201007
MRT,783.7459539
MUS,1170.965962
MWI,294.901221
NAM,424.6969524
NER,171.6128167
NGA,387.1970002
NIC,260.0329316
NPL,656.876838
PAK,492.7876864
PER,1167.2514
PHL,535.2145857
PNG,2173.631367
ROU,1998.42683
RUS,2868.867178
RWA,238.129928
SEN,480.1138781
SLE,824.5041083
SLV,653.5189367
SRB,2555.939548
STP,2596.268165
SWZ,284.5017484
TCD,368.1316693
TGO,279.4404973
THA,874.0383955
TJK,979.5143546
TLS,561.0884707
TUR,1440.878473
TZA,288.3072315
UGA,492.9972861
UKR,2478.978873
VNM,595.1048947
YEM,1058.714376
ZAF,1248.985449
ZMB,231.2927673
