country_code,urb_rur
AFG,0.312359931
ALB,0.603956877
ARM,0.632495634
AZE,0.592183243
BDI,0.21682173
BEN,0.558166352
BFA,0.43039886
BGD,0.354352409
BGR,0.724821319
BIH,0.577797034
BLR,0.795636466
BOL,0.803467802
BRA,0.889177101
BTN,0.478629557
CHN,0.747413464
CIV,0.61916539
CMR,0.731197296
COD,0.43945467
COG,0.692323322
COL,0.863882431
CPV,0.766070669
DJI,0.847977729
EGY,0.533032741
ETH,0.254441791
FJI,0.663192489
GAB,0.881094196
GHA,0.65267537
GIN,0.492340371
GMB,0.686792661
GTM,0.693852974
HND,0.662701792
IDN,0.558673777
IND,0.42269993
IRQ,0.711353129
JAM,0.622618197
JOR,0.847143289
KAZ,0.611319225
KEN,0.397933814
KGZ,0.389545061
KHM,0.321924814
LAO,0.387732855
LBR,0.554523059
LKA,0.165442104
LSO,0.415294953
LTU,0.694250663
LVA,0.720173357
MAR,0.716214973
MDA,0.612047112
MDG,0.467134289
MDV,0.447386722
MEX,0.868236811
MKD,0.603988331
MLI,0.530504225
MNE,0.682033538
MNG,0.71427173
MOZ,0.417522178
MRT,0.476644165
MUS,0.518639625
MWI,0.304864863
NAM,0.601755556
NER,0.394083465
NGA,0.594394352
NIC,0.695184023
NPL,0.23440476
PAK,0.400203354
PER,0.858124826
PHL,0.609772754
PNG,0.177465712
ROU,0.595957139
RUS,0.79812893
RWA,0.490278802
SEN,0.572164687
SLE,0.481243235
SLV,0.664501276
SRB,0.629459623
STP,0.689208897
SWZ,0.430234976
TCD,0.314874953
TGO,0.551104773
THA,0.370145466
TJK,0.323967823
TLS,0.366742505
TUR,0.655439321
TZA,0.387807146
UGA,0.249135604
UKR,0.710336916
VNM,0.41511685
YEM,0.392337885
ZAF,0.831606311
ZMB,0.620136112
